labelling,horizon_weeks,r_squared_spread_only,r_squared_phase_only,r_squared_both,incremental_r_squared,p_value,adds_beyond_the_term_spread
revised,26,0.0004,0.00605,0.0067,0.0063,0.8639,False
revised,52,0.00047,0.00723,0.0079,0.00743,0.8495,False
revised,104,0.00228,0.01845,0.02363,0.02135,0.5883,False
real-time,26,0.00904,0.10487,0.10863,0.09959,0.0881,False
real-time,52,0.05304,0.16686,0.19237,0.13933,0.1061,False
real-time,104,0.06587,0.46179,0.47073,0.40486,0.0021,True
