cell,gate,transitions,phases_shorter_than_four_weeks,slowdown_weeks,slowdown_share,expansion_weeks,recovery_weeks,contraction_weeks,withheld_weeks,slowdown_discrimination,slowdown_discrimination_p,progression_rate,progressed_to_contraction,closed_slowdown_blocks,contraction_delay_weeks,recovery_delay_weeks,nber_false_positive_episodes,breadth_gate_holds,current_call
baseline,boundary:off · gate:off,97,3,677,0.4042,685,151,162,0,0.369,0.9619,0.091,4,44,0,0,5,True,expansion
gate_only,boundary:off · gate:on,96,2,674,0.4024,684,152,165,0,0.338,0.972,0.093,4,43,0,0,5,True,expansion
boundary_only,persist13w · gate:off,38,4,107,0.0639,1260,144,164,0,2.421,0.1214,0.167,2,12,0,0,5,True,expansion
boundary_and_gate,persist13w · gate:on,37,3,105,0.0627,1262,144,164,0,2.302,0.1316,0.091,1,11,0,0,5,True,expansion
