sample,horizon_weeks,phase,industry,observations,sufficient,mean,median,sd,p10,p90,share_positive
revised_long,13,recovery,BusEq,151,True,0.005024,0.000899,0.043964,-0.042432,0.058545,0.5166
revised_long,13,recovery,Telcm,151,True,0.010265,0.007667,0.058128,-0.056464,0.065739,0.5364
revised_long,13,recovery,Utils,151,True,-0.019389,-0.014938,0.056046,-0.095174,0.049162,0.4106
revised_long,13,recovery,Shops,151,True,-0.014443,-0.003632,0.042855,-0.080124,0.033659,0.4636
revised_long,13,recovery,Hlth,151,True,-0.017169,-0.015251,0.044265,-0.070392,0.026872,0.3311
revised_long,13,recovery,Money,151,True,0.007645,0.00415,0.048651,-0.052663,0.063264,0.5166
revised_long,13,recovery,Other,151,True,0.008997,0.005403,0.029951,-0.028312,0.050158,0.6093
revised_long,13,expansion,NoDur,671,True,-0.005208,-0.006227,0.055297,-0.071211,0.062894,0.4531
revised_long,13,expansion,Durbl,671,True,-0.02168,-0.023135,0.086615,-0.11204,0.073335,0.3562
revised_long,13,expansion,Manuf,671,True,0.003628,0.004083,0.040904,-0.050299,0.050281,0.538
revised_long,13,expansion,Enrgy,671,True,-0.00012,-0.004332,0.099591,-0.106478,0.108373,0.4724
revised_long,13,expansion,Chems,671,True,-0.012159,-0.007698,0.052992,-0.06954,0.041316,0.4218
revised_long,13,expansion,BusEq,671,True,0.009985,0.00764,0.061196,-0.059312,0.076801,0.5753
revised_long,13,expansion,Telcm,671,True,-0.005859,-0.008772,0.06212,-0.076297,0.067392,0.4322
revised_long,13,expansion,Utils,671,True,0.000111,0.000958,0.070082,-0.082306,0.088207,0.5097
revised_long,13,expansion,Shops,671,True,-0.003019,-0.004186,0.03869,-0.04834,0.046388,0.4456
revised_long,13,expansion,Hlth,671,True,0.005902,0.008094,0.052303,-0.063222,0.067588,0.5768
revised_long,13,expansion,Money,671,True,0.00196,-0.0003,0.044699,-0.050112,0.050526,0.4993
revised_long,13,expansion,Other,671,True,-0.00703,-0.005321,0.031093,-0.048823,0.02869,0.4024
revised_long,13,slowdown,NoDur,672,True,-0.007889,-0.010991,0.068559,-0.088476,0.074661,0.3988
revised_long,13,slowdown,Durbl,672,True,0.008708,-0.010863,0.110993,-0.093292,0.140325,0.436
revised_long,13,slowdown,Manuf,672,True,0.003652,0.002238,0.044224,-0.045867,0.051391,0.5253
revised_long,13,slowdown,Enrgy,672,True,0.00626,-0.005651,0.096824,-0.103639,0.1332,0.4792
revised_long,13,slowdown,Chems,672,True,-0.004231,-0.005955,0.059755,-0.071067,0.068518,0.4554
revised_long,13,slowdown,BusEq,672,True,0.012667,0.015412,0.067107,-0.059908,0.083515,0.622
revised_long,13,slowdown,Telcm,672,True,-0.016242,-0.012346,0.05642,-0.089878,0.052501,0.3973
revised_long,13,slowdown,Utils,672,True,-0.0012,-0.008976,0.081061,-0.086268,0.108923,0.442
revised_long,13,slowdown,Shops,672,True,0.001316,-0.001707,0.045764,-0.05223,0.056823,0.4821
revised_long,13,slowdown,Hlth,672,True,-0.004588,-0.002889,0.055627,-0.07415,0.054775,0.4836
revised_long,13,slowdown,Money,672,True,0.001421,0.00175,0.054783,-0.064729,0.059139,0.5164
revised_long,13,slowdown,Other,672,True,-0.009376,-0.008119,0.03145,-0.050863,0.027528,0.3929
revised_long,13,contraction,NoDur,162,True,0.013136,0.009717,0.06407,-0.061309,0.094867,0.5617
revised_long,13,contraction,Durbl,162,True,0.051854,0.024222,0.173146,-0.127442,0.302616,0.5617
revised_long,13,contraction,Manuf,162,True,-0.002315,-0.006905,0.067783,-0.097587,0.082734,0.463
revised_long,13,contraction,Enrgy,162,True,-0.035624,-0.046366,0.11494,-0.186047,0.112008,0.3642
revised_long,13,contraction,Chems,162,True,0.009289,0.009194,0.05069,-0.04968,0.073465,0.5741
revised_long,13,contraction,BusEq,162,True,0.01517,0.032528,0.077155,-0.099112,0.098282,0.6358
revised_long,13,contraction,Telcm,162,True,-0.026358,-0.022479,0.051714,-0.091245,0.034296,0.3148
revised_long,13,contraction,Utils,162,True,-0.011015,-0.008416,0.083421,-0.125756,0.096459,0.4568
revised_long,13,contraction,Shops,162,True,0.035406,0.042262,0.044122,-0.014073,0.085468,0.8148
revised_long,13,contraction,Hlth,162,True,0.013315,0.009891,0.081902,-0.091268,0.115198,0.5247
revised_long,13,contraction,Money,162,True,-0.021183,-0.006002,0.088633,-0.129514,0.062221,0.4691
revised_long,13,contraction,Other,162,True,-0.012423,-0.019309,0.047583,-0.071252,0.052196,0.3704
revised_long,26,recovery,NoDur,151,True,-0.01138,-0.011542,0.05091,-0.076128,0.052933,0.4172
revised_long,26,recovery,Durbl,151,True,0.127,0.087773,0.231661,-0.097276,0.300264,0.755
revised_long,26,recovery,Manuf,151,True,0.043664,0.050024,0.048636,-0.024022,0.108655,0.8675
revised_long,26,recovery,Enrgy,151,True,0.069719,0.029873,0.161952,-0.080434,0.284386,0.5828
revised_long,26,recovery,Chems,151,True,-0.002034,0.004054,0.055527,-0.086873,0.05879,0.5364
revised_long,26,recovery,BusEq,151,True,0.00637,0.00612,0.05085,-0.050978,0.073344,0.5629
revised_long,26,recovery,Telcm,151,True,0.001691,-0.003939,0.061682,-0.070983,0.093903,0.4636
revised_long,26,recovery,Utils,151,True,-0.028467,-0.02966,0.06822,-0.12317,0.065273,0.3642
revised_long,26,recovery,Shops,151,True,-0.028098,-0.019132,0.045582,-0.098309,0.02664,0.298
revised_long,26,recovery,Hlth,151,True,-0.032428,-0.036938,0.04675,-0.091311,0.02477,0.2318
revised_long,26,recovery,Money,151,True,0.010344,0.0022,0.071756,-0.072761,0.116714,0.5364
revised_long,26,recovery,Other,151,True,0.015832,0.02052,0.036444,-0.033637,0.06087,0.7417
revised_long,26,expansion,NoDur,667,True,-0.010786,-0.006821,0.07817,-0.101863,0.077653,0.4483
revised_long,26,expansion,Durbl,667,True,-0.032998,-0.041465,0.113516,-0.14588,0.097927,0.3523
revised_long,26,expansion,Manuf,667,True,0.001098,0.002797,0.057636,-0.074211,0.065939,0.5187
revised_long,26,expansion,Enrgy,667,True,0.010345,-0.00859,0.158052,-0.149774,0.178094,0.4723
revised_long,26,expansion,Chems,667,True,-0.015864,-0.008795,0.066421,-0.090199,0.052271,0.3958
revised_long,26,expansion,BusEq,667,True,0.025225,0.020696,0.083208,-0.069499,0.119659,0.6237
revised_long,26,expansion,Telcm,667,True,-0.015295,-0.023164,0.09056,-0.123678,0.106058,0.4033
revised_long,26,expansion,Utils,667,True,0.004308,0.002801,0.10152,-0.117656,0.125774,0.5082
revised_long,26,expansion,Shops,667,True,-0.003139,-0.005148,0.058012,-0.075487,0.072324,0.4723
revised_long,26,expansion,Hlth,667,True,0.013829,0.020795,0.071334,-0.079408,0.093866,0.5907
revised_long,26,expansion,Money,667,True,0.003996,0.00498,0.068127,-0.08872,0.078355,0.5487
revised_long,26,expansion,Other,667,True,-0.016944,-0.014419,0.041122,-0.066329,0.032029,0.3253
revised_long,26,slowdown,NoDur,663,True,-0.016449,-0.014298,0.100015,-0.135071,0.088206,0.4434
revised_long,26,slowdown,Durbl,663,True,0.001262,-0.023146,0.158004,-0.153779,0.192549,0.4118
revised_long,26,slowdown,Manuf,663,True,0.009391,0.008177,0.06954,-0.071074,0.097762,0.54
revised_long,26,slowdown,Enrgy,663,True,-0.006816,-0.008315,0.132958,-0.167872,0.178512,0.451
revised_long,26,slowdown,Chems,663,True,-0.019014,-0.013721,0.089857,-0.1162,0.074349,0.4148
revised_long,26,slowdown,BusEq,663,True,0.023349,0.022352,0.109982,-0.082927,0.134307,0.6516
revised_long,26,slowdown,Telcm,663,True,-0.018084,-0.015521,0.083374,-0.125886,0.075708,0.4012
