sample,horizon_weeks,overall_p_value,phase,weeks,dispersion,p_value,null_median,ratio_to_null_median
real_time_ex_covid,13,0.7715,slowdown,328,1.1908e-05,0.9232,2.8508e-05,0.418
real_time_ex_covid,13,0.7715,contraction,0,,,,
real_time_ex_covid,26,0.9045,recovery,10,0.002456746,0.6723,0.003308365,0.743
real_time_ex_covid,26,0.9045,expansion,288,4.756e-05,0.8858,0.000117459,0.405
real_time_ex_covid,26,0.9045,slowdown,328,6.2166e-05,0.6592,7.6328e-05,0.814
real_time_ex_covid,26,0.9045,contraction,0,,,,
real_time_gated,4,0.0205,recovery,34,0.000451953,0.041,8.3491e-05,5.413
real_time_gated,4,0.0205,expansion,279,5.0765e-05,0.0017,1.0727e-05,4.732
real_time_gated,4,0.0205,slowdown,350,9.359e-06,0.2577,6.46e-06,1.449
real_time_gated,4,0.0205,contraction,15,0.000972546,0.087,0.000194401,5.003
real_time_gated,13,0.0137,recovery,34,0.003724043,0.041,0.000789517,4.717
real_time_gated,13,0.0137,expansion,279,7.4546e-05,0.4812,7.329e-05,1.017
real_time_gated,13,0.0137,slowdown,350,1.718e-05,0.9096,3.8306e-05,0.448
real_time_gated,13,0.0137,contraction,15,0.018932207,0.0017,0.001518482,12.468
real_time_gated,26,0.0017,recovery,34,0.011713122,0.0392,0.002860888,4.094
real_time_gated,26,0.0017,expansion,279,0.000272189,0.3532,0.000222201,1.225
real_time_gated,26,0.0017,slowdown,350,0.000135841,0.43,0.000126769,1.072
real_time_gated,26,0.0017,contraction,15,0.072399528,0.0017,0.004180101,17.32
