sample,horizon_weeks,phase,industry,weeks,observations,mean,effect_versus_all_weeks,p_value,bh_rank,survives_bh,survives_bonferroni
revised_long,13,expansion,Manuf,685,671,0.003628,-0.001139,0.7394,37.0,False,False
revised_long,13,expansion,Enrgy,685,671,-0.00012,-0.001021,0.8754,45.0,False,False
revised_long,13,expansion,Chems,685,671,-0.012159,-0.006392,0.192,8.0,False,False
revised_long,13,expansion,BusEq,685,671,0.009985,-0.001143,0.8481,44.0,False,False
revised_long,13,expansion,Telcm,685,671,-0.005859,0.004749,0.3274,18.0,False,False
revised_long,13,expansion,Utils,685,671,0.000111,0.003399,0.6001,29.0,False,False
revised_long,13,expansion,Shops,685,671,-0.003019,-0.004477,0.2263,13.0,False,False
revised_long,13,expansion,Hlth,685,671,0.005902,0.005635,0.2206,11.0,False,False
revised_long,13,expansion,Money,685,671,0.00196,0.001964,0.6713,32.0,False,False
revised_long,13,expansion,Other,685,671,-0.00703,1.8e-05,0.9949,48.0,False,False
revised_long,13,slowdown,NoDur,677,672,-0.007889,-0.003666,0.5289,27.0,False,False
revised_long,13,slowdown,Durbl,677,672,0.008708,0.002882,0.7298,36.0,False,False
revised_long,13,slowdown,Manuf,677,672,0.003652,-0.001116,0.7686,39.0,False,False
revised_long,13,slowdown,Enrgy,677,672,0.00626,0.005359,0.5048,25.0,False,False
revised_long,13,slowdown,Chems,677,672,-0.004231,0.001536,0.7572,38.0,False,False
revised_long,13,slowdown,BusEq,677,672,0.012667,0.001539,0.7972,42.0,False,False
revised_long,13,slowdown,Telcm,677,672,-0.016242,-0.005635,0.3363,19.0,False,False
revised_long,13,slowdown,Utils,677,672,-0.0012,0.002088,0.7209,35.0,False,False
revised_long,13,slowdown,Shops,677,672,0.001316,-0.000141,0.965,47.0,False,False
revised_long,13,slowdown,Hlth,677,672,-0.004588,-0.004855,0.2848,15.0,False,False
revised_long,13,slowdown,Money,677,672,0.001421,0.001426,0.787,40.0,False,False
revised_long,13,slowdown,Other,677,672,-0.009376,-0.002328,0.4069,22.0,False,False
revised_long,13,contraction,NoDur,162,162,0.013136,0.017359,0.3751,21.0,False,False
revised_long,13,contraction,Durbl,162,162,0.051854,0.046028,0.0757,5.0,False,False
revised_long,13,contraction,Manuf,162,162,-0.002315,-0.007082,0.5518,28.0,False,False
revised_long,13,contraction,Enrgy,162,162,-0.035624,-0.036525,0.2282,14.0,False,False
revised_long,13,contraction,Chems,162,162,0.009289,0.015055,0.3217,17.0,False,False
revised_long,13,contraction,BusEq,162,162,0.01517,0.004042,0.7928,41.0,False,False
revised_long,13,contraction,Telcm,162,162,-0.026358,-0.015751,0.3592,20.0,False,False
revised_long,13,contraction,Utils,162,162,-0.011015,-0.007728,0.6402,31.0,False,False
revised_long,13,contraction,Shops,162,162,0.035406,0.033948,0.0006,1.0,True,True
revised_long,13,contraction,Hlth,162,162,0.013315,0.013049,0.2988,16.0,False,False
revised_long,13,contraction,Money,162,162,-0.021183,-0.021179,0.1519,7.0,False,False
revised_long,13,contraction,Other,162,162,-0.012423,-0.005375,0.5232,26.0,False,False
revised_long,26,recovery,NoDur,151,151,-0.01138,-0.002515,0.932,46.0,False,False
revised_long,26,recovery,Durbl,151,151,0.127,0.112875,0.0591,5.0,False,False
revised_long,26,recovery,Manuf,151,151,0.043664,0.033718,0.1221,7.0,False,False
revised_long,26,recovery,Enrgy,151,151,0.069719,0.068802,0.2155,11.0,False,False
revised_long,26,recovery,Chems,151,151,-0.002034,0.00943,0.7209,34.0,False,False
revised_long,26,recovery,BusEq,151,151,0.00637,-0.015836,0.569,28.0,False,False
revised_long,26,recovery,Telcm,151,151,0.001691,0.021249,0.4984,24.0,False,False
revised_long,26,recovery,Utils,151,151,-0.028467,-0.022002,0.5823,29.0,False,False
revised_long,26,recovery,Shops,151,151,-0.028098,-0.03103,0.2238,12.0,False,False
revised_long,26,recovery,Hlth,151,151,-0.032428,-0.032942,0.2384,13.0,False,False
revised_long,26,recovery,Money,151,151,0.010344,0.009253,0.768,37.0,False,False
revised_long,26,recovery,Other,151,151,0.015832,0.029564,0.0172,3.0,False,False
revised_long,26,expansion,NoDur,685,667,-0.010786,-0.001921,0.8824,42.0,False,False
revised_long,26,expansion,Durbl,685,667,-0.032998,-0.047123,0.0006,1.0,True,True
revised_long,26,expansion,Manuf,685,667,0.001098,-0.008848,0.1767,9.0,False,False
revised_long,26,expansion,Enrgy,685,667,0.010345,0.009427,0.555,26.0,False,False
revised_long,26,expansion,Chems,685,667,-0.015864,-0.004401,0.5594,27.0,False,False
revised_long,26,expansion,BusEq,685,667,0.025225,0.003019,0.7972,38.0,False,False
revised_long,26,expansion,Telcm,685,667,-0.015295,0.004263,0.63,30.0,False,False
revised_long,26,expansion,Utils,685,667,0.004308,0.010773,0.295,17.0,False,False
revised_long,26,expansion,Shops,685,667,-0.003139,-0.006071,0.3554,19.0,False,False
revised_long,26,expansion,Hlth,685,667,0.013829,0.013315,0.0706,6.0,False,False
revised_long,26,expansion,Money,685,667,0.003996,0.002906,0.7502,36.0,False,False
revised_long,26,expansion,Other,685,667,-0.016944,-0.003211,0.4876,23.0,False,False
revised_long,26,slowdown,NoDur,677,663,-0.016449,-0.007584,0.4647,22.0,False,False
revised_long,26,slowdown,Durbl,677,663,0.001262,-0.012862,0.4507,21.0,False,False
revised_long,26,slowdown,Manuf,677,663,0.009391,-0.000554,0.9282,45.0,False,False
revised_long,26,slowdown,Enrgy,677,663,-0.006816,-0.007734,0.6338,31.0,False,False
revised_long,26,slowdown,Chems,677,663,-0.019014,-0.00755,0.4291,20.0,False,False
revised_long,26,slowdown,BusEq,677,663,0.023349,0.001143,0.9434,47.0,False,False
revised_long,26,slowdown,Telcm,677,663,-0.018084,0.001473,0.8818,41.0,False,False
revised_long,26,slowdown,Utils,677,663,-0.004691,0.001774,0.8551,39.0,False,False
revised_long,26,slowdown,Shops,677,663,0.002171,-0.000761,0.9034,43.0,False,False
revised_long,26,slowdown,Hlth,677,663,-0.00632,-0.006834,0.2702,15.0,False,False
revised_long,26,slowdown,Money,677,663,0.000952,-0.000138,0.9905,48.0,False,False
revised_long,26,slowdown,Other,677,663,-0.015716,-0.001984,0.6771,32.0,False,False
revised_long,26,contraction,NoDur,162,162,0.032423,0.041289,0.2759,16.0,False,False
revised_long,26,contraction,Durbl,162,162,0.155571,0.141447,0.042,4.0,False,False
revised_long,26,contraction,Manuf,162,162,0.017214,0.007269,0.7476,35.0,False,False
revised_long,26,contraction,Enrgy,162,162,-0.070373,-0.071291,0.2467,14.0,False,False
revised_long,26,contraction,Chems,162,162,0.028765,0.040229,0.1933,10.0,False,False
revised_long,26,contraction,BusEq,162,162,0.019861,-0.002345,0.918,44.0,False,False
revised_long,26,contraction,Telcm,162,162,-0.062944,-0.043387,0.1615,8.0,False,False
revised_long,26,contraction,Utils,162,162,-0.037575,-0.03111,0.342,18.0,False,False
revised_long,26,contraction,Shops,162,162,0.059965,0.057033,0.0006,2.0,True,True
revised_long,26,contraction,Hlth,162,162,0.004365,0.003852,0.8716,40.0,False,False
revised_long,26,contraction,Money,162,162,-0.018932,-0.020023,0.5213,25.0,False,False
revised_long,26,contraction,Other,162,162,-0.01995,-0.006218,0.6955,33.0,False,False
revised_overlap,4,recovery,NoDur,38,38,-0.007004,-0.002096,0.8413,43.0,False,False
revised_overlap,4,recovery,Durbl,38,38,0.054862,0.049548,0.0171,3.0,False,False
revised_overlap,4,recovery,Manuf,38,38,0.013095,0.012117,0.1314,14.0,False,False
revised_overlap,4,recovery,Enrgy,38,38,0.014612,0.018131,0.2799,19.0,False,False
revised_overlap,4,recovery,Chems,38,38,-0.007193,-0.001935,0.8038,40.0,False,False
revised_overlap,4,recovery,BusEq,38,38,0.000445,-0.00472,0.3208,23.0,False,False
revised_overlap,4,recovery,Telcm,38,38,-0.005412,0.000964,0.959,45.0,False,False
revised_overlap,4,recovery,Utils,38,38,-0.016219,-0.013298,0.2491,18.0,False,False
revised_overlap,4,recovery,Shops,38,38,-0.007929,-0.007742,0.2423,16.0,False,False
revised_overlap,4,recovery,Hlth,38,38,-0.015715,-0.013749,0.0683,8.0,False,False
revised_overlap,4,recovery,Money,38,38,0.010925,0.011222,0.1007,12.0,False,False
revised_overlap,4,recovery,Other,38,38,0.010496,0.012308,0.0256,5.0,False,False
revised_overlap,4,expansion,NoDur,268,263,-0.000615,0.004292,0.0853,9.0,False,False
revised_overlap,4,expansion,Durbl,268,263,-0.017101,-0.022415,0.0017,1.0,True,False
revised_overlap,4,expansion,Manuf,268,263,0.00249,0.001512,0.6331,35.0,False,False
revised_overlap,4,expansion,Enrgy,268,263,-0.005102,-0.001583,0.8379,42.0,False,False
revised_overlap,4,expansion,Chems,268,263,-0.003647,0.001612,0.529,32.0,False,False
revised_overlap,4,expansion,BusEq,268,263,0.005109,-5.6e-05,0.9761,46.0,False,False
revised_overlap,4,expansion,Telcm,268,263,-0.004995,0.001381,0.6314,34.0,False,False
revised_overlap,4,expansion,Utils,268,263,-0.003655,-0.000734,0.8362,41.0,False,False
revised_overlap,4,expansion,Shops,268,263,-0.002066,-0.001879,0.3669,26.0,False,False
revised_overlap,4,expansion,Hlth,268,263,0.002522,0.004487,0.0956,11.0,False,False
revised_overlap,4,expansion,Money,268,263,0.002146,0.002443,0.244,17.0,False,False
revised_overlap,4,expansion,Other,268,263,-0.003132,-0.001319,0.442,29.0,False,False
revised_overlap,4,slowdown,NoDur,354,349,-0.006967,-0.002059,0.3686,27.0,False,False
revised_overlap,4,slowdown,Durbl,354,349,0.011932,0.006618,0.2116,15.0,False,False
revised_overlap,4,slowdown,Manuf,354,349,-0.000248,-0.001226,0.5478,33.0,False,False
revised_overlap,4,slowdown,Enrgy,354,349,-0.001514,0.002005,0.6877,38.0,False,False
revised_overlap,4,slowdown,Chems,354,349,-0.005954,-0.000695,0.715,39.0,False,False
revised_overlap,4,slowdown,BusEq,354,349,0.004598,-0.000567,0.6792,37.0,False,False
revised_overlap,4,slowdown,Telcm,354,349,-0.006654,-0.000278,0.9181,44.0,False,False
revised_overlap,4,slowdown,Utils,354,349,0.000115,0.003036,0.3208,24.0,False,False
revised_overlap,4,slowdown,Shops,354,349,0.000812,0.000999,0.4881,30.0,False,False
revised_overlap,4,slowdown,Hlth,354,349,-0.003874,-0.001909,0.3447,25.0,False,False
revised_overlap,4,slowdown,Money,354,349,-0.001465,-0.001168,0.5119,31.0,False,False
revised_overlap,4,slowdown,Other,354,349,-0.001839,-2.7e-05,0.9812,48.0,False,False
revised_overlap,4,contraction,NoDur,28,28,-0.016717,-0.011809,0.2918,20.0,False,False
revised_overlap,4,contraction,Durbl,28,28,0.066126,0.060812,0.029,6.0,False,False
revised_overlap,4,contraction,Manuf,28,28,-0.014383,-0.015361,0.0922,10.0,False,False
revised_overlap,4,contraction,Enrgy,28,28,-0.038243,-0.034724,0.1007,13.0,False,False
revised_overlap,4,contraction,Chems,28,28,-0.00911,-0.003851,0.6758,36.0,False,False
revised_overlap,4,contraction,BusEq,28,28,0.019166,0.014001,0.0597,7.0,False,False
revised_overlap,4,contraction,Telcm,28,28,-0.017197,-0.010821,0.3123,22.0,False,False
revised_overlap,4,contraction,Utils,28,28,-0.015825,-0.012904,0.3038,21.0,False,False
revised_overlap,4,contraction,Shops,28,28,0.015522,0.015709,0.0239,4.0,False,False
revised_overlap,4,contraction,Hlth,28,28,-0.001661,0.000304,0.9795,47.0,False,False
revised_overlap,4,contraction,Money,28,28,-0.023921,-0.023624,0.0017,2.0,True,False
revised_overlap,4,contraction,Other,28,28,-0.00579,-0.003978,0.401,28.0,False,False
revised_overlap,13,recovery,NoDur,38,38,-0.020799,-0.004769,0.8703,45.0,False,False
revised_overlap,13,recovery,Durbl,38,38,0.150082,0.133532,0.0341,6.0,False,False
revised_overlap,13,recovery,Manuf,38,38,0.042395,0.041065,0.0922,11.0,False,False
revised_overlap,13,recovery,Enrgy,38,38,0.084848,0.095917,0.0973,13.0,False,False
revised_overlap,13,recovery,Chems,38,38,-0.026954,-0.009539,0.7218,36.0,False,False
revised_overlap,13,recovery,BusEq,38,38,-0.005344,-0.022854,0.1792,18.0,False,False
revised_overlap,13,recovery,Telcm,38,38,-0.021517,-0.001461,0.9778,48.0,False,False
revised_overlap,13,recovery,Utils,38,38,-0.043058,-0.03316,0.3601,22.0,False,False
revised_overlap,13,recovery,Shops,38,38,-0.030787,-0.030969,0.1212,17.0,False,False
revised_overlap,13,recovery,Hlth,38,38,-0.040397,-0.033161,0.1962,19.0,False,False
revised_overlap,13,recovery,Money,38,38,0.0498,0.051666,0.0017,1.0,True,False
revised_overlap,13,recovery,Other,38,38,0.028906,0.034869,0.0529,8.0,False,False
revised_overlap,13,expansion,NoDur,268,254,-0.010903,0.005127,0.4829,25.0,False,False
revised_overlap,13,expansion,Durbl,268,254,-0.023864,-0.040414,0.0461,7.0,False,False
revised_overlap,13,expansion,Manuf,268,254,0.003682,0.002352,0.802,41.0,False,False
revised_overlap,13,expansion,Enrgy,268,254,-0.017389,-0.00632,0.7935,40.0,False,False
revised_overlap,13,expansion,Chems,268,254,-0.015904,0.001512,0.8328,43.0,False,False
revised_overlap,13,expansion,BusEq,268,254,0.0133,-0.00421,0.3874,23.0,False,False
revised_overlap,13,expansion,Telcm,268,254,-0.016679,0.003377,0.5734,32.0,False,False
revised_overlap,13,expansion,Utils,268,254,-0.006554,0.003344,0.7509,38.0,False,False
revised_overlap,13,expansion,Shops,268,254,-0.003871,-0.004054,0.5085,27.0,False,False
revised_overlap,13,expansion,Hlth,268,254,0.008425,0.015661,0.0188,5.0,False,False
revised_overlap,13,expansion,Money,268,254,0.006642,0.008507,0.1058,15.0,False,False
revised_overlap,13,expansion,Other,268,254,-0.005132,0.00083,0.8669,44.0,False,False
revised_overlap,13,slowdown,NoDur,354,349,-0.017538,-0.001508,0.7645,39.0,False,False
revised_overlap,13,slowdown,Durbl,354,349,0.014586,-0.001964,0.8857,46.0,False,False
revised_overlap,13,slowdown,Manuf,354,349,-0.001204,-0.002534,0.6706,33.0,False,False
revised_overlap,13,slowdown,Enrgy,354,349,-0.003598,0.007471,0.6792,34.0,False,False
revised_overlap,13,slowdown,Chems,354,349,-0.018848,-0.001433,0.7201,35.0,False,False
revised_overlap,13,slowdown,BusEq,354,349,0.019796,0.002286,0.5154,29.0,False,False
revised_overlap,13,slowdown,Telcm,354,349,-0.020709,-0.000653,0.9266,47.0,False,False
revised_overlap,13,slowdown,Utils,354,349,-0.003789,0.00611,0.4488,24.0,False,False
revised_overlap,13,slowdown,Shops,354,349,0.001244,0.001061,0.7423,37.0,False,False
revised_overlap,13,slowdown,Hlth,354,349,-0.015591,-0.008355,0.1041,14.0,False,False
revised_overlap,13,slowdown,Money,354,349,-0.006783,-0.004917,0.2969,20.0,False,False
revised_overlap,13,slowdown,Other,354,349,-0.009765,-0.003802,0.3481,21.0,False,False
revised_overlap,13,contraction,NoDur,28,28,-0.03727,-0.02124,0.5034,26.0,False,False
revised_overlap,13,contraction,Durbl,28,28,0.226414,0.209864,0.0085,4.0,False,False
revised_overlap,13,contraction,Manuf,28,28,-0.044144,-0.045475,0.0751,10.0,False,False
revised_overlap,13,contraction,Enrgy,28,28,-0.177026,-0.165957,0.0597,9.0,False,False
revised_overlap,13,contraction,Chems,28,28,-0.000329,0.017087,0.5461,31.0,False,False
revised_overlap,13,contraction,BusEq,28,28,0.058226,0.040716,0.0956,12.0,False,False
revised_overlap,13,contraction,Telcm,28,28,-0.040569,-0.020513,0.5137,28.0,False,False
revised_overlap,13,contraction,Utils,28,28,-0.07139,-0.061491,0.1058,16.0,False,False
revised_overlap,13,contraction,Shops,28,28,0.065758,0.065576,0.0017,2.0,True,False
revised_overlap,13,contraction,Hlth,28,28,-0.000163,0.007073,0.8208,42.0,False,False
revised_overlap,13,contraction,Money,28,28,-0.087863,-0.085998,0.0017,3.0,True,False
revised_overlap,13,contraction,Other,28,28,-0.013423,-0.00746,0.5444,30.0,False,False
revised_overlap,26,recovery,NoDur,38,38,-0.054915,-0.023459,0.657,37.0,False,False
revised_overlap,26,recovery,Durbl,38,38,0.232627,0.196967,0.07,7.0,False,False
revised_overlap,26,recovery,Manuf,38,38,0.062014,0.060344,0.1621,13.0,False,False
revised_overlap,26,recovery,Enrgy,38,38,0.197294,0.220699,0.0819,9.0,False,False
revised_overlap,26,recovery,Chems,38,38,-0.073509,-0.039082,0.4181,24.0,False,False
revised_overlap,26,recovery,BusEq,38,38,0.00523,-0.029608,0.2594,17.0,False,False
revised_overlap,26,recovery,Telcm,38,38,-0.05577,-0.016968,0.8259,43.0,False,False
revised_overlap,26,recovery,Utils,38,38,-0.092175,-0.074162,0.2526,16.0,False,False
revised_overlap,26,recovery,Shops,38,38,-0.061428,-0.062664,0.0922,10.0,False,False
revised_overlap,26,recovery,Hlth,38,38,-0.064026,-0.050426,0.3089,19.0,False,False
revised_overlap,26,recovery,Money,38,38,0.094809,0.09799,0.0137,5.0,False,False
