as_of_date,official_phase,raw_phase,evidence_quality,raw_recovery,raw_expansion,raw_slowdown,raw_contraction,filtered_recovery,filtered_expansion,filtered_slowdown,filtered_contraction,activity_level,activity_momentum,breadth,concentration,freshness_summary,confirmation_state,transition_watch,phase_status,change_from_prior_week,configuration_hash,result_digest
2026-08-14,expansion,expansion,low,0.249999767,0.501614428,0.248384875,9.3e-07,0.118964609,0.719079945,0.161955296,1.5e-07,-0.247820579,0.274323251,"{""coincident_domains"": [""production"", ""employment"", ""real_income"", ""consumption""], ""confirming_coincident_domains"": 2, ""negative_level_domains"": 2, ""negative_momentum_domains"": 1, ""positive_momentum_domains"": 1}",0.525839443,"{""consumption"": 4.0, ""employment"": 5.0, ""labor_stress"": 0.0, ""production"": 8.0, ""real_income"": 6.0}","{""filtered_winner"": ""expansion"", ""pending_weeks"": 0, ""required_weeks"": 3, ""transition"": {""changed"": false, ""new_official_phase"": ""expansion"", ""previous_official_phase"": ""expansion""}}",none,official,unchanged,e052a4f41ca2d01431bab32e6df8bbd383ea9a2dab09982a6675e789bcc3265a,d58e02ea22db2fa1e40e03ee1b30f73a72896f79a8f7fe9ef123b8451889f2b1
2026-08-21,expansion,expansion,low,0.249999767,0.522982405,0.227016897,9.3e-07,0.116473097,0.77828207,0.105244716,1.17e-07,-0.21778226,0.325714471,"{""coincident_domains"": [""production"", ""employment"", ""real_income"", ""consumption""], ""confirming_coincident_domains"": 2, ""negative_level_domains"": 2, ""negative_momentum_domains"": 1, ""positive_momentum_domains"": 1}",0.506364366,"{""consumption"": 5.0, ""employment"": 6.0, ""labor_stress"": 0.0, ""production"": 5.0, ""real_income"": 7.0}","{""filtered_winner"": ""expansion"", ""pending_weeks"": 0, ""required_weeks"": 3, ""transition"": {""changed"": false, ""new_official_phase"": ""expansion"", ""previous_official_phase"": ""expansion""}}",none,official,unchanged,e052a4f41ca2d01431bab32e6df8bbd383ea9a2dab09982a6675e789bcc3265a,741be4ace3a0e40c478b7bc368ea2f52b6e5fcf5027475d80c007c96d6c6df7a
