half,first_week,last_week,weeks,consumption_domain,nber_recessions,slowdown_weeks,slowdown_share,slowdown_blocks,progressed_to_contraction,progression_rate,discrimination,p_value,enough_blocks_to_call_it_a_state
pre_1992,1976-07-16,1991-12-27,807,CMRMTSPL 단독,"['1980-01', '1981-07', '1990-07']",31,0.0384,4,2,0.5,1.015,0.4922,False
post_1992,1992-01-03,2026-08-14,1807,CMRMTSPL + RRSFS,"['2001-03', '2007-12', '2020-02']",88,0.0487,12,2,0.167,3.555,0.0323,True
