horizon_weeks,full,full_p,ex_covid,ex_covid_p,ex_gfc,ex_gfc_p,retained_without_covid
4,1.603,0.1971,0.999,0.5016,1.728,0.111,0.623
13,2.166,0.0718,1.623,0.2005,2.392,0.0265,0.749
26,2.416,0.0585,1.421,0.2512,2.787,0.0027,0.588
